EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
[r-x/r--] r-x/r-- (rwx/rwx) r-x/r--
[r--/r-x] r--/r-x (rwx/rwx) r--/r-x
[r--/r--] r--/r-- (rwx/rwx) r--/r--
[rwx/---] rwx/--x (rwx/rw-) rwx/--x
[rwx/---] rwx/--- (rwx/rw-) rwx/---
[rw-/---] rw-/--x (rwx/rw-) rw-/--x
[rw-/---] rw-/--- (rwx/rw-) rw-/---
[rw-/rw-] rwx/rwx (rwx/rw-) rw-/rwx
[rw-/rw-] rwx/rw- (rwx/rw-) rw-/rw-
[rw-/rw-] rw-/rwx (rwx/rw-) rw-/rwx
[rw-/rw-] rw-/rw- (rwx/rw-) rw-/rw-
[r-x/---] r-x/--x (rwx/rw-) r-x/--x
[r-x/---] r-x/--- (rwx/rw-) r-x/---
[r--/---] r--/--x (rwx/rw-) r--/--x
[r--/---] r--/--- (rwx/rw-) r--/---
[r-x/r--] r-x/r-x (rwx/rw-) r-x/r-x
[r-x/r--] r-x/r-- (rwx/rw-) r-x/r--
[r--/r--] r--/r-x (rwx/rw-) r--/r-x
[r--/r--] r--/r-- (rwx/rw-) r--/r--
[rw-/--x] rwx/--x (rw-/rwx) rwx/--x
[rw-/---] rwx/--- (rw-/rwx) rwx/---
[rw-/--x] rw-/--x (rw-/rwx) rw-/--x
[rw-/---] rw-/--- (rw-/rwx) rw-/---
[rw-/rwx] rwx/rwx (rw-/rwx) rw-/rwx
[rw-/rw-] rwx/rw- (rw-/rwx) rw-/rw-
[rw-/rwx] rw-/rwx (rw-/rwx) rw-/rwx
[rw-/rw-] rw-/rw- (rw-/rwx) rw-/rw-
[r--/--x] r-x/--x (rw-/rwx) r-x/--x
[r--/---] r-x/--- (rw-/rwx) r-x/---
[r--/--x] r--/--x (rw-/rwx) r--/--x
[r--/---] r--/--- (rw-/rwx) r--/---
[r--/r-x] r-x/r-x (rw-/rwx) r-x/r-x
[r--/r--] r-x/r-- (rw-/rwx) r-x/r--
[r--/r-x] r--/r-x (rw-/rwx) r--/r-x
[r--/r--] r--/r-- (rw-/rwx) r--/r--
[rw-/---] rwx/--x (rw-/rw-) rwx/--x
[rw-/---] rwx/--- (rw-/rw-) rwx/---
[rw-/---] rw-/--x (rw-/rw-) rw-/--x
[rw-/---] rw-/--- (rw-/rw-) rw-/---
[rw-/rw-] rwx/rwx (rw-/rw-) rw-/rwx
[rw-/rw-] rwx/rw- (rw-/rw-) rw-/rw-
[rw-/rw-] rw-/rwx (rw-/rw-) rw-/rwx
[rw-/rw-] rw-/rw- (rw-/rw-) rw-/rw-
[r--/---] r-x/--x (rw-/rw-) r-x/--x
[r--/---] r-x/--- (rw-/rw-) r-x/---
[r--/---] r--/--x (rw-/rw-) r--/--x
[r--/---] r--/--- (rw-/rw-) r--/---
[r--/r--] r-x/r-x (rw-/rw-) r-x/r-x
