EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
[r-x/---] r-x/r-- (rwx/---) r-x/r--
[r--/---] r--/r-x (rwx/---) r--/r-x
[r--/---] r--/r-- (rwx/---) r--/r--
[-w-/--x] rwx/--x (rw-/--x) -wx/--x
[rw-/---] rwx/--- (rw-/--x) rwx/---
[-w-/--x] rw-/--x (rw-/--x) -w-/--x
[rw-/---] rw-/--- (rw-/--x) rw-/---
[-w-/--x] rwx/rwx (rw-/--x) rw-/rwx
[rw-/---] rwx/rw- (rw-/--x) rw-/rw-
[-w-/--x] rw-/rwx (rw-/--x) rw-/rwx
[rw-/---] rw-/rw- (rw-/--x) rw-/rw-
[---/--x] r-x/--x (rw-/--x) --x/--x
[r--/---] r-x/--- (rw-/--x) r-x/---
[---/--x] r--/--x (rw-/--x) ---/--x
[r--/---] r--/--- (rw-/--x) r--/---
[---/--x] r-x/r-x (rw-/--x) r-x/r-x
[r--/---] r-x/r-- (rw-/--x) r-x/r--
[---/--x] r--/r-x (rw-/--x) r--/r-x
[r--/---] r--/r-- (rw-/--x) r--/r--
[rw-/---] rwx/--x (rw-/---) -wx/--x
[rw-/---] rwx/--- (rw-/---) rwx/---
[rw-/---] rw-/--x (rw-/---) -w-/--x
[rw-/---] rw-/--- (rw-/---) rw-/---
[rw-/---] rwx/rwx (rw-/---) rw-/rwx
[rw-/---] rwx/rw- (rw-/---) rw-/rw-
[rw-/---] rw-/rwx (rw-/---) rw-/rwx
[rw-/---] rw-/rw- (rw-/---) rw-/rw-
[r--/---] r-x/--x (rw-/---) --x/--x
[r--/---] r-x/--- (rw-/---) r-x/---
[r--/---] r--/--x (rw-/---) ---/--x
[r--/---] r--/--- (rw-/---) r--/---
[r--/---] r-x/r-x (rw-/---) r-x/r-x
[r--/---] r-x/r-- (rw-/---) r-x/r--
[r--/---] r--/r-x (rw-/---) r--/r-x
[r--/---] r--/r-- (rw-/---) r--/r--
[--x/--x] rwx/--x (r-x/r-x) -wx/--x
[r-x/---] rwx/--- (r-x/r-x) rwx/---
[---/--x] rw-/--x (r-x/r-x) -w-/--x
[r--/---] rw-/--- (r-x/r-x) rw-/---
[r-x/r-x] rwx/rwx (r-x/r-x) rw-/rwx
[r-x/r--] rwx/rw- (r-x/r-x) rw-/rw-
[r--/r-x] rw-/rwx (r-x/r-x) rw-/rwx
[r--/r--] rw-/rw- (r-x/r-x) rw-/rw-
[--x/--x] r-x/--x (r-x/r-x) --x/--x
[r-x/---] r-x/--- (r-x/r-x) r-x/---
[---/--x] r--/--x (r-x/r-x) ---/--x
[r--/---] r--/--- (r-x/r-x) r--/---
[r-x/r-x] r-x/r-x (r-x/r-x) r-x/r-x
[r-x/r--] r-x/r-- (r-x/r-x) r-x/r--
[r--/r-x] r--/r-x (r-x/r-x) r--/r-x
[r--/r--] r--/r-- (r-x/r-x) r--/r--
[r-x/---] rwx/--x (r-x/r--) -wx/--x
[r-x/---] rwx/--- (r-x/r--) rwx/---
[r--/---] rw-/--x (r-x/r--) -w-/--x
[r--/---] rw-/--- (r-x/r--) rw-/---
[r-x/r--] rwx/rwx (r-x/r--) rw-/rwx
[r-x/r--] rwx/rw- (r-x/r--) rw-/rw-
[r--/r--] rw-/rwx (r-x/r--) rw-/rwx
[r--/r--] rw-/rw- (r-x/r--) rw-/rw-
[r-x/---] r-x/--x (r-x/r--) --x/--x
[r-x/---] r-x/--- (r-x/r--) r-x/---
[r--/---] r--/--x (r-x/r--) ---/--x
[r--/---] r--/--- (r-x/r--) r--/---
[r-x/r--] r-x/r-x (r-x/r--) r-x/r-x
[r-x/r--] r-x/r-- (r-x/r--) r-x/r--
[r--/r--] r--/r-x (r-x/r--) r--/r-x
[r--/r--] r--/r-- (r-x/r--) r--/r--
[---/--x] rwx/--x (r--/r-x) -wx/--x
[r--/---] rwx/--- (r--/r-x) rwx/---
[---/--x] rw-/--x (r--/r-x) -w-/--x
[r--/---] rw-/--- (r--/r-x) rw-/---
[r--/r-x] rwx/rwx (r--/r-x) rw-/rwx
[r--/r--] rwx/rw- (r--/r-x) rw-/rw-
[r--/r-x] rw-/rwx (r--/r-x) rw-/rwx
[r--/r--] rw-/rw- (r--/r-x) rw-/rw-
[---/--x] r-x/--x (r--/r-x) --x/--x
[r--/---] r-x/--- (r--/r-x) r-x/---
[---/--x] r--/--x (r--/r-x) ---/--x
[r--/---] r--/--- (r--/r-x) r--/---
[r--/r-x] r-x/r-x (r--/r-x) r-x/r-x
